location,price_per_month,bed num,bath num,sqft,url of rental info,latitude,longitude
"Ryer Ave,Bronx,NY,10457",1300.0,1,1.0,500.0,https://www.zillow.com/homedetails/Ryer-Ave-Bronx-NY-10457/2096135240_zpid/,40.8543035,-73.9002537
"2299 A C Powell Blvd APT 2B,New York,NY,10030",1300.0,1,1.0,1200.0,https://www.zillow.com/homedetails/2299-A-C-Powell-Blvd-APT-2B-New-York-NY-10030/2086509993_zpid/,40.8150363,-73.94349199999999
"E 213th St,Bronx,NY,10467",1300.0,1,1.0,1200.0,https://www.zillow.com/homedetails/E-213th-St-Bronx-NY-10467/2085463172_zpid/,40.878253,-73.86162399999999
"E 213th St,Bronx,NY,10467",1300.0,1,1.0,1200.0,https://www.zillow.com/homedetails/E-213th-St-Bronx-NY-10467/2100216879_zpid/,40.878253,-73.86162399999999
"E 213th St,Bronx,NY,10467",1300.0,1,1.0,250.0,https://www.zillow.com/homedetails/E-213th-St-Bronx-NY-10467/2085474583_zpid/,40.878253,-73.86162399999999
"E 213th St,Bronx,NY,10467",1300.0,1,1.0,250.0,https://www.zillow.com/homedetails/E-213th-St-Bronx-NY-10467/2085443992_zpid/,40.878253,-73.86162399999999
"White Plains Rd,Bronx,NY,10470",1300.0,1,1.0,250.0,https://www.zillow.com/homedetails/White-Plains-Rd-Bronx-NY-10470/2107874683_zpid/,40.8927473,-73.85771249999999
"3978 Amundson Ave FL GROUND,Bronx,NY,10466",1300.0,1,1.0,250.0,https://www.zillow.com/homedetails/3978-Amundson-Ave-FL-GROUND-Bronx-NY-10466/2086451518_zpid/,40.8913606,-73.83614
"3831 Bronxwood Ave # 1,Bronx,NY,10469",1300.0,1,1.0,880.0,https://www.zillow.com/homedetails/3831-Bronxwood-Ave-1-Bronx-NY-10469/2085819380_zpid/,40.8828468,-73.8567331
"Beaumont Ave,Bronx,NY,10458",1300.0,1,1.0,880.0,https://www.zillow.com/homedetails/Beaumont-Ave-Bronx-NY-10458/2085313827_zpid/,40.8541487,-73.8844548
